source_key,title,author,date,isbn,loan_duration_days,total_copies,available_copies
/works/OL66554W,Pride and Prejudice,Jane Austen,941760000,9798749154306,14,1,1
/works/OL28627804W,1984,George Orwell,1640995200,9798837303432,14,1,1
/works/OL3140822W,To Kill a Mockingbird,Harper Lee,725846400,9785040077656,14,1,1
/works/OL33864210W,The great Gatsby,F. Scott Fitzgerald,883612800,9798833244869,14,1,1
/works/OL9838790W,One Hundred Years of Solitude,Prastavna Sinha Mehta,1041379200,9781560777335,14,1,1
/works/OL35336208W,Moby Dick,Herman Melville,1577836800,9798704335597,14,1,1
/works/OL267171W,War and Peace,Лев Толстой,-3345062400,9782070580262,14,1,1
/works/OL35297456W,The Catcher in the Rye,Scott Hurley,1312156800,9781921088834,14,1,1
/works/OL4699021W,The Hobbit,Mary Elizabeth,883612800,9780931993909,14,1,1
/works/OL28935078W,Jane Eyre,Charlotte Brontë,1609459200,9798711844174,14,1,1
/works/OL27448W,The Lord of the Rings,J.R.R. Tolkien,725846400,9783608958553,14,1,1
/works/OL34814029W,The little prince,Antoine de Saint-Exupéry,1420070400,9788490019023,14,1,1
/works/OL82563W,Harry Potter and the Philosopher's Stone,J. K. Rowling,1372636800,9789878000107,14,1,1
/works/OL24716116W,The Chronicles of Narnia,C. S. Lewis,1388534400,9787544747165,14,1,1
/works/OL19944070W,The alchemist,Paolo Bacigalupi,1293840000,9781596063532,14,1,1
/works/OL64365W,Brave New World,Aldous Huxley,725846400,9798365087255,14,1,1
/works/OL21062236W,Crime and Punishment,Фёдор Достоевский,1388534400,9798633163070,14,1,1
/works/OL24600223W,The Brothers Karamazov,Фёдор Михайлович Достоевский,1420070400,9798519937580,14,1,1
/works/OL37836971W,Wuthering Heights,Emily Brontë,1672531200,9798888975237,14,1,1
/works/OL25965892W,The Picture of Dorian Gray,Oscar Wilde,1546300800,9798543730959,14,1,1
/works/OL21162983W,The Old Man and the Sea,Ernest Hemmingway,1451606400,9789381841921,14,1,1
/works/OL17812254W,The Odyssey,Όμηρος,1356998400,9781694671202,14,1,1
/works/OL27292338W,The Iliad,Όμηρος,-757382400,9798553184834,14,1,1
/works/OL2714378W,Don Quixote,Kathy Acker,1672531200,9782905479051,14,1,1
/works/OL27718440W,Les Misérables,Victor Hugo,-2461449600,9782824710778,14,1,1
/works/OL45255047W,The Count of Monte Cristo,Alexandre Dumas,-2082844800,9789388760072,14,1,1
/works/OL19932787W,Anna Karenina,S. Solovʹev,1230768000,9789851671232,14,1,1
/works/OL35342637W,The Divine Comedy,Dante Alighieri,1262304000,9781449557898,14,1,1
/works/OL17358805W,The Stranger,Harlan Coben,1420070400,9781629533797,14,1,1
/works/OL5728072W,The metamorphosis,"Kuper, Peter",1230768000,9781400047956,14,1,1
/works/OL26211650W,Fahrenheit 451,Tim Hamilton,1546300800,9786051735634,14,1,1
/works/OL675783W,The Handmaid's Tale,Margaret Atwood,820454400,9781984899668,14,1,1
/works/OL50548W,Beloved,Toni Morrison,536457600,9780701162092,14,1,1
/works/OL273644W,The Color Purple,Alice Walker,791596800,9781780228716,14,1,1
/works/OL74411W,The Road,Jack London,-1988150400,9791092957204,14,1,1
/works/OL22191998W,The Kite Runner,Nicolas Tredell,1577836800,9781642653779,14,1,1
/works/OL30765007W,Life of Pi,Dzung Nguyen,1609459200,9798589835007,14,1,1
/works/OL38926748W,The Book Thief,Marilyn Herbert,1257033600,9781897082584,14,1,1
/works/OL8193465W,A Tale of Two Cities,Charles Dickens,-5364662400,9798361981670,14,1,1
/works/OL8721462W,Great Expectations,Charles Dickens,1311292800,9798763878363,14,1,1
/works/OL35814943W,Oliver Twist,Charles Dickens,1609459200,9798742091325,14,1,1
/works/OL41094236W,David Copperfield,Charles Dickens,1514764800,9781985058927,14,1,1
/works/OL35402209W,The Grapes of Wrath,Robert B. Harmon,631152000,9789999088664,14,1,1
/works/OL23204W,Of Mice and Men,John Steinbeck,725846400,9788431635596,14,1,1
/works/OL21792683W,East of Eden,Michael J. Meyer,1356998400,9789042037120,14,1,1
/works/OL62979W,The Sun Also Rises,Ernest Hemingway,63072000,9798794866292,14,1,1
/works/OL26420902W,The Sound and the Fury,William Faulkner,1640995200,9789390492749,14,1,1
/works/OL276798W,Catch-22,Joseph Heller,1199145600,9789146215301,14,1,1
/works/OL98459W,Slaughterhouse-Five,Kurt Vonnegut,-441849600,9783499115240,14,1,1
/works/OL29319024W,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,1546300800,9781787534674,14,1,1
/works/OL893414W,Dune,Frank Herbert,725846400,9788373017238,14,1,1
/works/OL46125W,Foundation,Isaac Asimov,-599616000,9780007270422,14,1,1
